Field,Date,FIBBG000B9XRY4,FIBBG000BKZB36,FIBBG000BMHYD1,FIBBG000BPH459,FIBBG000GZQ728,FIBBG00B3T3HD3
Close,2023-08-17,173.5496,321.1137,170.0918,315.6544,106.4286,28.8815
Close,2023-08-18,174.0383,321.202,168.606,315.256,108.0388,28.7426
Close,2023-08-21,175.3848,317.9543,163.5818,320.6351,106.733,28.3655
Close,2023-08-22,176.7712,318.3664,162.2817,321.2128,106.1341,28.5541
Close,2023-08-23,180.6512,319.9461,160.8253,325.7353,105.2014,28.5838
Close,2023-08-24,175.9234,316.512,161.3727,318.7325,104.4159,28.5243
Close,2023-08-25,178.1477,316.7769,163.6864,321.7308,106.2814,28.0084
Close,2023-08-28,179.7236,319.7695,161.7566,322.448,107.1748,28.2564
Close,2023-08-29,183.6434,323.1741,161.7763,327.1398,107.813,29.3775
Close,2023-08-30,187.1643,326.4721,161.2053,327.5184,108.8635,29.2783
Close,2023-08-31,187.3837,326.1462,159.1869,326.4923,109.1679,29.8438
Close,2023-09-01,188.9696,328.8913,158.0054,327.3889,111.4555,30.8558
Close,2023-09-05,189.209,323.6579,158.2023,332.2599,111.4653,30.0522
Close,2023-09-06,182.4365,321.9003,155.5735,331.5925,112.4275,29.9629
Close,2023-09-07,177.1004,324.2899,157.5623,328.634,111.8777,28.2266
Close,2023-09-08,177.7188,324.5762,158.0842,332.9772,113.5075,27.8794
Close,2023-09-11,178.8957,324.2405,160.1518,336.633,112.0839,28.4548
Close,2023-09-12,175.8437,322.1768,161.0576,330.4868,115.3533,27.9786
Close,2023-09-13,173.7591,321.7818,161.4613,334.7602,114.3224,28.4251
Close,2023-09-14,175.2851,325.4847,161.2151,337.39,116.3646,29.953
Close,2023-09-15,174.557,317.3582,158.9604,328.9428,114.5777,28.6235
Close,2023-09-18,177.5093,313.2702,159.9647,327.7873,115.5006,28.6235
Close,2023-09-19,178.6065,310.6536,159.6989,327.3789,115.1962,28.1175
Close,2023-09-20,175.0357,306.9507,160.3979,319.5294,114.2831,29.1493
Close,2023-09-21,173.4798,302.9023,159.1672,318.2942,112.673,27.6512
Close,2023-09-22,174.3376,301.8852,158.0251,315.7839,112.8497,28.1274
Close,2023-09-25,175.6242,302.6357,157.7888,316.3119,114.1162,26.4209
Close,2023-09-26,171.5149,298.7353,156.5679,310.9328,114.293,25.657
Close,2023-09-27,169.9888,298.0244,154.6874,311.5802,118.014,25.9943
Close,2023-09-28,170.2482,299.6734,154.4609,312.427,117.2973,27.9191
Close,2023-09-29,170.7668,298.3601,153.3483,314.5288,115.4417,28.8319
Close,2023-10-02,173.3003,296.0594,152.7576,320.5554,113.5271,28.6136
Close,2023-10-03,171.9537,288.2686,152.9446,312.1779,113.7235,27.4329
Close,2023-10-04,173.2105,288.713,153.1219,317.7214,109.4723,26.9468
Close,2023-10-05,174.4573,288.0317,154.7169,318.1248,107.0079,26.3217
Close,2023-10-06,177.0306,289.1376,155.2092,325.9943,105.221,26.9368
Close,2023-10-09,178.5267,291.6456,156.0953,328.5444,108.9028,27.0361
Close,2023-10-10,177.9282,295.4571,155.9181,327.1199,108.4413,27.9786
Close,2023-10-11,179.3346,294.3018,153.7717,331.1343,104.5534,27.8199
Close,2023-10-12,180.2422,289.3351,153.9194,329.8792,104.5337,26.6888
Close,2023-10-13,178.3871,288.2489,154.4314,326.4625,107.8719,26.3713
Close,2023-10-16,178.2574,293.5909,155.1009,331.3535,107.9504,26.5995
Close,2023-10-17,176.6915,292.2183,153.6831,330.7757,109.3643,27.552
Close,2023-10-18,175.3848,286.59,150.3749,328.8333,110.8959,26.3118
Close,2023-10-19,175.0058,283.1637,149.9712,330.0386,110.9646,24.0497
Close,2023-10-20,172.4325,282.8082,150.6407,325.4066,109.0599,23.8215
Close,2023-10-23,172.5522,281.485,149.0556,328.0463,107.4595,23.2262
Close,2023-10-24,172.9911,279.7472,148.898,329.2516,106.4188,23.256
Close,2023-10-25,170.6571,277.3971,149.2328,339.3524,106.6152,23.6528
Close,2023-10-26,166.458,274.504,146.7024,326.6218,105.6432,23.3254
Close,2023-10-27,167.7846,272.9833,143.3548,328.5344,103.6305,23.3254
Close,2023-10-30,169.8492,277.9402,144.7628,336.0054,103.9545,25.2285
Close,2023-10-31,170.328,281.1098,146.0526,336.8023,103.925,25.5474
Close,2023-11-01,173.5197,283.0254,146.3972,344.7315,103.7188,24.9396
Close,2023-11-02,177.1104,290.8261,147.9233,346.9728,107.1257,25.9758
Close,2023-11-03,176.1927,291.8925,149.0063,351.4355,105.8199,26.4342
Close,2023-11-06,178.7661,290.8656,149.3608,355.1511,103.9446,25.8762
Close,2023-11-07,181.3494,291.0631,148.5731,359.1356,102.3148,25.4477
Close,2023-11-08,182.4166,292.1986,148.0316,361.7953,101.0581,25.4378
Close,2023-11-09,181.9378,284.2498,145.1468,359.295,101.0876,24.4912
Close,2023-11-10,186.1624,287.923,144.9794,368.2402,101.8632,24.551
Close,2023-11-13,184.5645,284.4473,145.3535,365.2618,102.9334,24.5111
Close,2023-11-14,187.2011,299.8116,145.3831,368.8379,103.3297,26.0755
Close,2023-11-15,187.7704,304.3143,146.5055,368.9876,102.7055,26.8526
Close,2023-11-16,189.4682,302.5863,147.7855,375.4757,101.5165,25.9061
Close,2023-11-17,189.4483,303.4059,147.4802,369.1673,103.9935,26.1253
Close,2023-11-20,191.206,304.3143,148.7804,376.7433,103.5378,26.3744
Close,2023-11-21,190.397,301.5001,149.9812,372.3814,103.4981,26.2947
Close,2023-11-22,191.0662,305.3116,149.6835,377.1526,103.0523,26.2847
Close,2023-11-24,189.7279,306.7927,151.3508,376.7333,103.6071,26.1452
Close,2023-11-27,189.5481,307.01,150.14,377.9111,103.0027,26.205
Close,2023-11-28,190.1573,309.3995,150.4874,381.9936,102.9433,25.9858
Close,2023-11-29,189.1287,309.1709,150.9638,378.1507,101.3976,26.3445
Close,2023-11-30,189.7079,311.6262,153.4946,378.2106,101.794,26.763
Close,2023-12-01,190.9963,317.7198,157.1865,373.8187,102.0417,27.6398
Close,2023-12-04,189.1886,322.0936,157.6828,368.4586,101.4868,26.7131
Close,2023-12-05,193.1735,321.5767,157.3553,371.8324,99.5151,25.1488
Close,2023-12-06,192.0749,324.1712,155.4398,368.1193,98.1974,25.0292
Close,2023-12-07,194.0224,324.2308,154.229,370.2653,97.5137,24.8499
Close,2023-12-08,195.4606,324.529,153.2564,373.5392,98.6333,24.9296
Close,2023-12-11,192.9338,329.3601,153.8916,370.6146,98.7027,24.8399
Close,2023-12-12,194.4619,331.219,153.9015,373.689,97.1471,23.9631
Close,2023-12-13,197.7077,341.3584,154.6161,373.679,98.0091,25.8961
Close,2023-12-14,197.8575,349.7184,155.6879,365.2546,100.6446,29.792
Close,2023-12-15,197.3182,351.8954,153.9908,370.0457,99.9709,30.9876
Close,2023-12-18,195.6404,348.7243,154.2687,371.9621,100.714,30.4097
Close,2023-12-19,196.689,349.9768,155.281,372.571,102.0417,32.3029
Close,2023-12-20,194.5817,346.5871,152.115,369.9359,100.3375,30.5393
Close,2023-12-21,194.4319,346.8953,153.6732,372.8505,100.7933,31.9043
Close,2023-12-22,193.3533,346.5175,154.2885,373.8886,100.9716,33.648
Close,2023-12-26,192.804,347.2332,154.9634,373.9684,101.1995,33.7476
Close,2023-12-27,192.9038,346.4579,155.1718,373.3795,100.7239,34.6842
Close,2023-12-28,193.3333,345.2948,155.4001,374.5873,99.2674,34.4252
Close,2023-12-29,192.2846,344.4897,155.5589,375.3459,99.0594,33.8772
